id,fase_clinica,cenario_populacao,recomendacao,detalhes_tratamento,nivel_evidencia,forca_recomendacao,estudo_base,observacoes,fonte,tipos_compativeis,id_estados
189,Metastático,Manutenção — HER2+/RH+ (após resposta máxima à QT),Oferecer Trastuzumabe + Lapatinibe + Hormonioterapia (manutenção HER2+/RH+),Trastuzumabe (ataque 8 mg/kg EV + manutenção 6 mg/kg q3sem) + Lapatinibe 1000 mg/dia VO + IA ou Tamoxifeno.,Não se aplica,Não se aplica,ALTERNATIVE,"Guarda-chuva: após resposta máxima à QT, anti-HER2 + HT é preferencial sobre HT isolada. | ALTERNATIVE (fase III, HER2+/RH+): Lapatinibe + Trastuzumabe + IA vs Trastuzumabe + IA → SLP 11,0 vs 5,7 meses (HR 0,62; IC 95% 0,45-0,88; p=0,0064); braço Lapatinibe + IA: SLP 8,3 meses (HR 0,71; p=0,0361).",Metastática,"[1,2,3,5,20]",meta_linhas_tardias
194,Adjuvância,"Cuidados de Suporte — Pós-menopausa com RH+ em HT, ou pré-menopausa com supressão ovariana — RH+/HER2-",Oferecer ácido zoledrônico adjuvante,"Ácido zoledrônico 4 mg EV semestral ou anual por 3-5 anos, como parte da terapia adjuvante endócrina em pós-menopausa (definitiva ou induzida).",Alto,Forte,EBCTCG,"Guarda-chuva: zoledrônico OU denosumabe como adjuvantes ósseos; acompanhar com DMO anual/bianual. | EBCTCG (metanálise, ~18.766 pacientes): zoledrônico (e clodronato) reduzem fraturas, recorrência óssea e mortalidade por câncer de mama, APENAS em pós-menopausa (definitiva ou induzida). Monitoramento: cálcio sérico e função renal antes de cada dose (contraindicado TFG<30); avaliação odontológica prévia (osteonecrose ~1%); reação gripal 24-48h; suplementar cálcio 500 mg/dia + vit D 400-800 UI/dia.",Adjuvante,"[1,2,5,6]","adj_upfront_rhpos,pos_neoadj_rhpos_pcr,pos_neoadj_rhpos_residual"
195,Adjuvância,"Cuidados de Suporte — Pós-menopausa com RH+ em HT, ou pré-menopausa com supressão ovariana — RH+/HER2-",Oferecer denosumabe adjuvante,"Denosumabe 60 mg SC semestral por 5 anos, como parte da terapia adjuvante endócrina em pós-menopausa (definitiva ou induzida).",Alto,Forte,ABCSG-18,"Guarda-chuva: zoledrônico OU denosumabe como adjuvantes ósseos; acompanhar com DMO anual/bianual. | ABCSG-18 (fase III): denosumabe 60 mg SC semestral por 5 anos → redução de fraturas (~50% de RR), sem impacto em sobrevida. Monitoramento: hipocalcemia, função renal, avaliação odontológica prévia (osteonecrose ~1%); suplementar cálcio 500 mg/dia + vit D 400-800 UI/dia.",Adjuvante,"[1,2,5,6]","adj_upfront_rhpos,pos_neoadj_rhpos_pcr,pos_neoadj_rhpos_residual"
196,Metastático,Linhas avançadas — Mutações germinativas BRCA1/2 — RH+/HER2-,"Oferecer Olaparibe (mutações germinativas BRCA1/2, RH+/HER2-)",Olaparibe 300 mg VO 2x/dia contínuo.,Alto,Forte,OlympiAD,"Guarda-chuva: iPARP (olaparibe ou talazoparibe) em linhas avançadas de RH+/HER2- com mutação germinativa BRCA1/2. | OlympiAD (HER2-, pós ≤2 linhas): SLP 7 vs 4,2 meses (HR 0,58); ORR 59,9 vs 28,8%; SG sem diferença (HR 0,90; p=0,513). | Olaparibe também ativo em mutação germinativa PALB2 e somática BRCA1/2 (TBCRC 048).",Metastática,"[1,2,3,5,9,16,20]",meta_linhas_tardias
197,Metastático,Linhas avançadas — Mutações germinativas BRCA1/2 — RH+/HER2-,"Oferecer Talazoparibe (mutações germinativas BRCA1/2, RH+/HER2-)",Talazoparibe 1 mg VO 1x/dia contínuo.,Alto,Forte,EMBRACA,"Guarda-chuva: iPARP (olaparibe ou talazoparibe) em linhas avançadas de RH+/HER2- com mutação germinativa BRCA1/2. | EMBRACA: SLP 8,6 vs 5,6 meses (HR 0,54); ORR 62,6 vs 27,2%; sem ganho de SG em 44,9 meses.",Metastática,"[1,2,3,5,9,16,20]",meta_linhas_tardias
200,Metastático,2ª linha — Mutação germinativa BRCA1/2 (pós 1ª linha) — TNBC,"Oferecer Olaparibe (TNBC 2ª linha, mutação germinativa BRCA1/2)",Olaparibe 300 mg VO 2x/dia contínuo.,Alto,Forte,OlympiAD,"Guarda-chuva: fluxograma TNBC 2ª linha — mutação germinativa BRCA1/2 → iPARP (NE ALTO/FR FORTE). | OlympiAD: SLP 7 vs 4,2 meses (HR 0,58); sem ganho formal de SG.",Metastática,"[1,2,3,5,9,16,20]",meta_progressao_tnbc
201,Metastático,2ª linha — Mutação germinativa BRCA1/2 (pós 1ª linha) — TNBC,"Oferecer Talazoparibe (TNBC 2ª linha, mutação germinativa BRCA1/2)",Talazoparibe 1 mg VO 1x/dia contínuo.,Alto,Forte,EMBRACA,"Guarda-chuva: fluxograma TNBC 2ª linha — mutação germinativa BRCA1/2 → iPARP (NE ALTO/FR FORTE). | EMBRACA: SLP 8,6 vs 5,6 meses (HR 0,54); sem ganho formal de SG.",Metastática,"[1,2,3,5,9,16,20]",meta_progressao_tnbc
202,Diagnóstico/Estadiamento,"RH+/HER2-, N0 ou 1-3 LFN (decisão de QT adjuvante)",Utilizar Oncotype Dx para decisão adjuvante,"Oncotype Dx (21 genes): aplicar em RH+/HER2-, N0 ou 1-3 LFN; RS define indicação de QT (cut-offs TAILORx/RxPonder).",Alto,Forte,TAILORx/RxPonder,"Guarda-chuva: perfis de expressão gênica validados (Oncotype Dx ou Mammaprint) para decisão adjuvante.
TAILORx valida o Oncotype Dx (RS); RxPonder: pós-menopausa RS<=25 sem benefício de QT; pré-menopausa RS<=25 benefício absoluto 5,2%.
RS 16-20 e 21-25 em <=50 anos: discutir QT (~1,6%/6,5%).
Sem valor preditivo em HER2+ ou RH-.
Acesso baixo no SUS: tratar por critérios clínicos.
Pós-menopausa G1-2, RP>=20%, pN0, <2 cm: pode dispensar painel.",Estadiamento,"[1,9]",adj_upfront_rhpos
203,Diagnóstico/Estadiamento,"RH+/HER2- alto risco clínico (preferencialmente pós-menopausa, N0; possível até 3 LFN)",Utilizar Mammaprint para decisão adjuvante,Mammaprint (70 genes): aplicar em RH+/HER2-; combina risco clínico e genômico (MINDACT).,Alto,Forte,MINDACT,"Guarda-chuva: perfis de expressão gênica validados (Oncotype Dx ou Mammaprint) para decisão adjuvante.
MINDACT valida o Mammaprint.
Jovens <50 anos, alto risco clínico + baixo risco genômico: não usar teste isoladamente (benefício da QT não excluído).
Até 3 LFN: orientar que benefício da QT não é completamente excluído, principalmente >=2 LFN.
Sem valor preditivo em HER2+ ou RH-.",Estadiamento,"[1,9]",adj_upfront_rhpos
204,Neoadjuvância,"Exceção — Pacientes pós-menopausa com RH+/HER2-, T1/T2 e pN0 ou pN1 (até 2 LNs)",Não indicar QT neoadjuvante automaticamente; avaliar assinatura genômica antes da decisão terapêutica (Oncotype Dx),Resultado de Oncotype Dx: pós-menopausa com 1-3 LFN e RS≤25 pode omitir QT.,Não se aplica,Não se aplica,RxPonder,"Guarda-chuva: em pós-menopausa RH+/HER2-, T1/T2 e pN0/pN1 (≤2 LNs), evitar QT neoadjuvante automática para não privar a paciente da omissão de QT por genômica (RxPonder/MINDACT). | RxPonder: pós-menopausa com 1-3 LFN e RS≤25 sem benefício de QT.",Neoadjuvante,"[1,2,7,17,21]",neoadj_candidata_rhpos
205,Neoadjuvância,"Exceção — Pacientes pós-menopausa com RH+/HER2-, T1/T2 e pN0 ou pN1 (até 2 LNs)",Não indicar QT neoadjuvante automaticamente; avaliar assinatura genômica antes da decisão terapêutica (Mammaprint),Resultado de Mammaprint: baixo risco genômico + baixo risco clínico permite omitir QT.,Não se aplica,Não se aplica,MINDACT,"Guarda-chuva: em pós-menopausa RH+/HER2-, T1/T2 e pN0/pN1 (≤2 LNs), evitar QT neoadjuvante automática para não privar a paciente da omissão de QT por genômica (RxPonder/MINDACT). | MINDACT: baixo risco genômico + baixo risco clínico → omitir QT.",Neoadjuvante,"[1,2,7,17,21]",neoadj_candidata_rhpos
208,Metastático,3ª linha em diante — MSI-H ou TMB-H — TNBC,Oferecer Pembrolizumabe (3ª linha em diante),Pembrolizumabe 200 mg EV q3sem.,Moderado,Forte,KEYNOTE-158,"Guarda-chuva: 3ª linha em diante com biomarcadores positivos (MSI-H, NTRK, RET, TMB-H) → terapia alvo guiada por biomarcador (pembrolizumabe, larotrectinibe, etc.). | KEYNOTE-158: valida pembrolizumabe em MSI-H/TMB-H.",Metastática,"[1,2,3,9,20]",meta_linhas_tardias
209,Metastático,3ª linha em diante — NTRK — TNBC,"Oferecer Larotrectinibe (3ª linha em diante, fusão NTRK)",Larotrectinibe 100 mg VO 2x/dia contínuo.,Moderado,Forte,Drilon et al.,"Guarda-chuva: 3ª linha em diante com biomarcadores positivos (MSI-H, NTRK, RET, TMB-H) → terapia alvo guiada por biomarcador (pembrolizumabe, larotrectinibe, etc.). | Drilon et al.: valida larotrectinibe em fusão NTRK.",Metastática,"[1,2,3,9,20]",meta_linhas_tardias
210,Metastático,Biomarcadores — RH+ e TNBC,Pesquisar status HER2 low e ultra low (tumores RE+),IHQ HER2 (incluindo IHQ 0 com coloração de membrana) para identificar HER2-low (1+ ou 2+/ISH-) e HER2-ultralow (IHQ 0 com coloração de membrana) em tumores RE+.,Não se aplica,Não se aplica,DESTINY-Breast06 / DESTINY-Breast04,"Guarda-chuva: pesquisa de HER2-low/ultralow para indicar T-DXd. | DESTINY-Breast06 (pós-HT, SEM QT prévia metastática, RE+): HER2-low ou ultralow (IHQ 0 com coloração de membrana) → SLP HER2-low 13,2 vs 8,1 meses (HR 0,62; p<0,0001); ultralow consistente (ORR 61,8 vs 26,3%). | DESTINY-Breast04 (pós-QT, RE+ 88,7% + TNBC exploratório): HER2-low (1+ ou 2+/ISH-) → SLP 10,1 vs 5,4 (HR 0,51); SG 23,9 vs 17,5 meses (HR 0,64). | Diferença: DB06 avalia o espectro low/ultralow mais cedo (após HT, antes da QT); DB04 avalia apenas low pós-QT. Unir as duas definições (1+/2+ ISH- E IHQ 0 com membrana) ao pesquisar, sobretudo em RE+.",Metastática,"[1,2,9,16]","meta_1l_rhpos,meta_1l_tnbc,meta_progressao_rhpos,meta_progressao_tnbc"
211,Metastático,Biomarcadores — RH+ e TNBC,Pesquisar status HER2 low (tumores triplo-negativos),IHQ HER2 (1+ ou 2+/ISH-) para identificar HER2-low em TNBC metastático (base para T-DXd).,Não se aplica,Não se aplica,DESTINY-Breast04 (subgrupo TNBC),"Guarda-chuva: pesquisa de HER2-low para indicar T-DXd. | DB04: subgrupo TNBC HER2-low (IHC 1+ ou 2+ ISH-) — resultado exploratório (88,7% do estudo era RH+).",Metastática,"[1,2,9,16]","meta_1l_rhpos,meta_1l_tnbc,meta_progressao_rhpos,meta_progressao_tnbc"
212,Adjuvância,Quimioterapia — Triplo-negativo — cirurgia upfront,Administrar ACdd (dose-densa) seguido de Paclitaxel semanal,ACdd: Doxorrubicina 60 mg/m² EV D1 + Ciclofosfamida 600 mg/m² EV D1 a cada 14 dias por 4 ciclos + suporte de G-CSF (Pegfilgrastim 6 mg D2). Paclitaxel: 80 mg/m² EV semanal por 12 semanas.,Alto,Forte,EBCTCG meta-análise,"Esquema preferencial. Redução de recidiva em 10 anos (RR 0,86) e mortalidade específica (RR 0,87).",Adjuvante,"[1,2,5]",adj_upfront_tnbc
213,Adjuvância,Quimioterapia — Triplo-negativo — cirurgia upfront,Administrar AC → T (dose-padrão): AC seguido de Paclitaxel semanal,AC: Doxorrubicina 60 mg/m² EV D1 + Ciclofosfamida 600 mg/m² EV D1 a cada 21 dias por 4 ciclos. Paclitaxel: 80 mg/m² EV semanal por 12 semanas.,Alto,Forte,NSABP B-15/CALGB 9344,Opção válida quando dose-densa indisponível.,Adjuvante,"[1,2,5]",adj_upfront_tnbc
214,Adjuvância,Quimioterapia — Triplo-negativo — cirurgia upfront,Administrar AC → T: AC seguido de Docetaxel,AC: Doxorrubicina 60 mg/m² + Ciclofosfamida 600 mg/m² EV D1 a cada 21 dias por 4 ciclos. Docetaxel: 100 mg/m² EV D1 a cada 21 dias por 4 ciclos.,Alto,Forte,NSABP B-28,Alternativa ao paclitaxel.,Adjuvante,"[1,2,5]",adj_upfront_tnbc
215,Adjuvância,Quimioterapia — Triplo-negativo — cirurgia upfront,Administrar Carboplatina + Paclitaxel semanal,Carboplatina AUC 2 EV D1/D8/D15 + Paclitaxel 80 mg/m² EV D1/D8/D15 a cada 3-4 semanas por 6 ciclos.,Alto,Forte,Yu KD et al. 2020,Alternativa sem antraciclina. Similar a FEC-T em SLD e SLR.,Adjuvante,"[1,2,5]",adj_upfront_tnbc
216,Adjuvância,Quimioterapia — Triplo-negativo — cirurgia upfront,Administrar TC (Docetaxel + Ciclofosfamida),Docetaxel 75 mg/m² EV D1 + Ciclofosfamida 600 mg/m² EV D1 a cada 3 semanas por 4-6 ciclos + suporte de G-CSF.,Moderado,Forte,USON 9735,Opção para contraindicação a antraciclinas.,Adjuvante,"[1,2,5]",adj_upfront_tnbc
217,Adjuvância,Quimioterapia — Triplo-negativo — cirurgia upfront,Administrar AC isolado (casos selecionados),Doxorrubicina 60 mg/m² EV D1 + Ciclofosfamida 600 mg/m² EV D1 a cada 21 dias por 4 ciclos.,Moderado,Fraca,NSABP B-15,Opção em casos de baixo risco.,Adjuvante,"[1,2,5]",adj_upfront_tnbc
218,Adjuvância,Quimioterapia — Triplo-negativo — cirurgia upfront,Administrar CMF clássico,Ciclofosfamida 100 mg/m² VO D1-D14 + Metotrexato 40 mg/m² EV D1/D8 + 5-FU 600 mg/m² EV D1/D8 a cada 4 semanas por 6 ciclos.,Moderado,Fraca,NSABP B-15,Menor toxicidade porém menor praticidade.,Adjuvante,"[1,2,5]",adj_upfront_tnbc
219,Adjuvância,Quimioterapia — Triplo-negativo — cirurgia upfront,Administrar CMF endovenoso,Ciclofosfamida 600 mg/m² EV D1 + Metotrexato 40 mg/m² EV D1 + 5-FU 600 mg/m² EV D1 a cada 3 semanas por 9 ciclos.,Moderado,Fraca,,Versão EV do CMF clássico.,Adjuvante,"[1,2,5]",adj_upfront_tnbc
220,Adjuvância,Quimioterapia — HER2+ — cirurgia upfront,Administrar ACdd → TH (dose-densa),ACdd: Doxorrubicina 60 + Ciclofosfamida 600 mg/m² EV D1 a cada 14 dias por 4 ciclos + G-CSF. TH: Paclitaxel 80 mg/m² EV semanal por 12 semanas + Trastuzumabe (4 mg/kg ataque C1 depois 2 mg/kg semanal). Manter T até 1 ano.,Alto,Forte,Joint analysis B-31/N9831,"Esquema preferencial. Trastuzumabe CONCOMITANTE ao paclitaxel. | HERA (fase III, n=5.102, qualquer QT prévia, sequencial APÓS a QT — 100% sequencial, 33% N0): T 1 vs 2 anos vs observação → 8a DFS HR 0,76 (1 ano), sem diferença entre 1 e 2 anos; ICCH grave 0,8% nos braços com trastuzumabe vs 0% na observação. Joint analysis B-31/N9831 (n=3.396, 90% N+, T CONCOMITANTE ao paclitaxel após AC): risco de evento DFS reduzido ~48-52% (HR 0,48), OS HR 0,67; CHF 2,3-3,8% vs 0,9-1,3%. Por isso: HER2+ com indicação de QT → preferir T concomitante ao taxano.",Adjuvante,"[1,2,5,7]",adj_upfront_her2
221,Adjuvância,Quimioterapia — HER2+ — cirurgia upfront,Administrar AC → TH (dose-padrão),AC: Doxorrubicina 60 + Ciclofosfamida 600 mg/m² EV D1 a cada 21 dias por 4 ciclos. TH: Paclitaxel 80 mg/m² EV semanal por 12 semanas + Trastuzumabe (4→2 mg/kg semanal).,Alto,Forte,NSABP B-31/NCCTG N9831,Opção quando dose-densa indisponível.,Adjuvante,"[1,2,5,7]",adj_upfront_her2
222,Adjuvância,Quimioterapia — HER2+ — contraindicação a antraciclinas,Administrar TCH (contraindicação a antraciclinas),Docetaxel 75 mg/m² EV D1 + Carboplatina AUC 6 EV D1 + Trastuzumabe (8 mg/kg ataque C1 depois 6 mg/kg q3sem) a cada 3 semanas por 6 ciclos. Manter T até 1 ano.,Alto,Forte,BCIRG-006,Esquema preferencial em contraindicação a antraciclinas.,Adjuvante,"[1,2,5,7]",adj_upfront_her2
223,Adjuvância,"Quimioterapia — HER2+ — baixo risco (<2 cm, N0)",Administrar TH (baixo risco: <2 cm N0),Paclitaxel 80 mg/m² EV semanal por 12 semanas + Trastuzumabe (4 mg/kg ataque C1 depois 2 mg/kg semanal). Manter T até 1 ano.,Moderado,Forte,Tolaney et al. 2015,Estudo de fase II. Para tumores HER2+ pequenos e N0.,Adjuvante,"[1,2,5,7]",adj_upfront_her2
225,Adjuvância,Seleção de Pacientes — Tumores RH-positivo HER2-negativo com LFN negativo se alto risco clínico (na ausência de teste genômico) ou alto risco genômico,Administrar ACdd → Paclitaxel (alto risco),ACdd: Doxorrubicina 60 + Ciclofosfamida 600 mg/m² EV D1 a cada 14 dias por 4 ciclos + G-CSF. Paclitaxel: 80 mg/m² EV semanal por 12 semanas.,Alto,Forte,EBCTCG meta-análise,"Esquema preferencial. Redução de recidiva em 10 anos. | Seleção (na ausência de teste genômico) — Alto risco clínico: tumores ≥1cm grau 3; ≥2cm grau 2-3; ≥3cm qualquer grau; pré-menopausa, invasão angiolinfática, baixa expressão RH, Ki67≥20%.",Adjuvante,"[1,2,5,6,7,17]",adj_upfront_rhpos
226,Adjuvância,Seleção de Pacientes — Tumores RH-positivo HER2-negativo com LFN negativo se alto risco clínico (na ausência de teste genômico) ou alto risco genômico,Administrar AC → T: AC → Paclitaxel (alto risco),AC: Doxorrubicina 60 + Ciclofosfamida 600 mg/m² EV D1 a cada 21 dias por 4 ciclos. Paclitaxel: 80 mg/m² EV semanal por 12 semanas. | Variante dose-densa descrita na diretriz: AC a cada 14 dias + Paclitaxel 175 mg/m² a cada 14 dias.,Alto,Forte,NSABP B-28/CALGB 9344,"Opção válida. Não escalar dose de doxorrubicina. | CALGB 9344 (n=3.121): também testou escalonamento de doxorrubicina (60/75/90 mg/m²) → sem benefício da dose maior; adição do paclitaxel reduziu recorrência 17% e morte 18% (DFS e OS significativos). NSABP B-28 (n=3.060): adição de paclitaxel melhorou DFS (RR 0,83; SLD 5a 76% vs 72%; p=0,006) mas SEM ganho de OS (RR 0,93) — tamoxifeno dado concomitantemente pode ter atenuado o efeito.",Adjuvante,"[1,2,5,6,7,17]",adj_upfront_rhpos
227,Adjuvância,Seleção de Pacientes — Tumores RH-positivo HER2-negativo com LFN negativo se alto risco clínico (na ausência de teste genômico) ou alto risco genômico,Administrar AC → T: AC → Docetaxel (alto risco),AC: Doxorrubicina 60 + Ciclofosfamida 600 mg/m² EV D1 a cada 21 dias por 4 ciclos. Docetaxel: 100 mg/m² EV D1 a cada 21 dias por 4 ciclos.,Alto,Forte,NSABP B-28,Alternativa ao paclitaxel.,Adjuvante,"[1,2,5,6,7,17]",adj_upfront_rhpos
228,Adjuvância,Seleção de Pacientes — Tumores RH-positivo HER2-negativo com LFN negativo se alto risco clínico (na ausência de teste genômico) ou alto risco genômico,Administrar TC (contraindicação a antraciclina),Docetaxel 75 mg/m² EV D1 + Ciclofosfamida 600 mg/m² EV D1 a cada 3 semanas por 4-6 ciclos + suporte de G-CSF.,Moderado,Forte,USON 9735,Sem antraciclina. Bom perfil de toxicidade.,Adjuvante,"[1,2,5,6,7,17]",adj_upfront_rhpos
229,Adjuvância,Seleção de Pacientes — Tumores RH-positivo HER2-negativo com LFN negativo se alto risco clínico (na ausência de teste genômico) ou alto risco genômico,Administrar AC isolado (casos selecionados),Doxorrubicina 60 mg/m² + Ciclofosfamida 600 mg/m² EV D1 a cada 21 dias por 4 ciclos.,Moderado,Fraca,NSABP B-15,Sem taxano. Reservado para menor risco ou contraindicação a taxanos.,Adjuvante,"[1,2,5,6,7,17]",adj_upfront_rhpos
230,Adjuvância,"Quimioterapia — RH+/HER2- — baixo risco (≤2 cm, N0)",Administrar TC (baixo risco ≤2cm N0),Docetaxel 75 mg/m² EV D1 + Ciclofosfamida 600 mg/m² EV D1 a cada 3 semanas por 4 ciclos.,Alto,Forte,USON 9735,"TC superior a AC em DFS e OS. | USON 9735 (fase III, estádios I/II): TC vs AC → TC superior em DFS 7 anos (81 vs 75%; HR 0,74; IC 95% 0,56-0,98; p=0,033) e OS (87 vs 82%; HR 0,69).",Adjuvante,"[1,2,5]",adj_upfront_rhpos
231,Adjuvância,"Quimioterapia — RH+/HER2- — baixo risco (≤2 cm, N0)",Administrar AC (baixo risco),Doxorrubicina 60 mg/m² EV D1 + Ciclofosfamida 600 mg/m² EV D1 a cada 21 dias por 4 ciclos.,Moderado,Fraca,NSABP B-15,"Equivalente a CMF. | NSABP B-15 (fase III, N+): AC q21d ×4 equivalente a CMF clássico ×6 (base da QT com antraciclina).",Adjuvante,"[1,2,5]",adj_upfront_rhpos
232,Adjuvância,"Quimioterapia — RH+/HER2- — baixo risco (≤2 cm, N0)",Administrar CMF clássico (baixo risco),Ciclofosfamida 100 mg/m² VO D1-D14 + Metotrexato 40 mg/m² EV D1/D8 + 5-FU 600 mg/m² EV D1/D8 a cada 4 semanas por 6 ciclos.,Moderado,Fraca,NSABP B-15,Maior duração e menor praticidade.,Adjuvante,"[1,2,5]",adj_upfront_rhpos
233,Adjuvância,"Quimioterapia — RH+/HER2- — baixo risco (≤2 cm, N0)",Administrar CMF endovenoso (baixo risco),Ciclofosfamida 600 mg/m² EV D1 + Metotrexato 40 mg/m² EV D1 + 5-FU 600 mg/m² EV D1 a cada 3 semanas por 9 ciclos.,Moderado,Fraca,,Versão EV.,Adjuvante,"[1,2,5]",adj_upfront_rhpos
234,Adjuvância,"iCDK4/6 — RH+/HER2-, alto risco (MonarchE: ≥4 LFN; ou 1-3 LFN + T≥5cm/G3/Ki67≥20%)",Administrar Abemaciclibe adjuvante (MonarchE),Abemaciclibe 150 mg VO 2x/dia continuamente por 2 anos + hormonioterapia (Tamoxifeno ou IA + supressão ovariana se pré-menopausa).,Alto,Forte,MONARCH E,"Critérios: ≥4 LFN OU 1-3 LFN + (T≥5cm OU G3 OU Ki67≥20%). SLDi +6,5 pp em 6,3 anos. | monarchE (atualização, mediana 76,2 meses): SLDi 77,4 vs 70,9% (+6,5 pp; HR 0,734), SLRD 80,0 vs 74,9% (+5,1 pp; HR 0,746) e SG 86,8 vs 85,0% (+1,8 pp; HR 0,842). Toxicidade: fadiga, náusea, neutropenia (menos frequente que palbociclibe/ribociclibe) e elevação de transaminases.",Adjuvante,"[1,2,5,6,7,12]","pos_neoadj_rhpos_residual,adj_upfront_rhpos"
235,Adjuvância,"iCDK4/6 — RH+/HER2-, alto risco (NATALEE: N+ qualquer; ou N0 com T≥2cm+G3 ou T≥2cm+Ki67≥20%+risco genômico)",Administrar Ribociclibe adjuvante (NATALEE),Ribociclibe 400 mg VO 1x/dia D1-D21 a cada 28 dias por 3 anos + IA + supressão ovariana (se pré-menopausa). NÃO associar a Tamoxifeno.,Alto,Forte,NATALEE,"Critérios: N+ (qualquer) OU N0 com (T≥2cm+G3 OU T≥2cm+Ki67≥20%+risco genômico) OU T3/T4. Dose 400 mg. Ganho SLDi de 4,5% em 5 anos. | NATALEE (atualização, 5 anos): ganho de 4,5% em SLDi vs controle; benefício em todos os subgrupos predefinidos, incluindo N0 (HR 0,606; IC 95% 0,372-0,986). Toxicidade: neutropenia (hemograma); hepatotoxicidade ~10% G3-4; corrigir eletrólitos ao prolongamento de QTcF.",Adjuvante,"[1,2,5,6,7,12]","pos_neoadj_rhpos_residual,adj_upfront_rhpos"
236,Adjuvância,"iCDK4/6 — RH+/HER2-, adjuvante",NÃO usar Palbociclibe adjuvante,Palbociclibe não tem papel no adjuvante (estudos negativos).,Alto,Forte,PALLAS e PENELOPE-B,"Ambos os estudos negativos. | PALLAS (n=5.796, RH+/HER2-, estádio II-III, palbociclibe 2 anos + HT vs HT) → NEGATIVO para iDFS. PENELOPE-B (n=1.250, doença residual pós-neoadjuvante + alto risco CPS-EG ≥3 ou =2 com ypN+, palbociclibe 1 ano/13 ciclos vs placebo) → NEGATIVO (iDFS HR 0,93; p=0,525). Diferença: PALLAS inclui cirurgia upfront (todos os estágios); PENELOPE-B é dirigido ao cenário pós-neoadjuvante de alto risco. Ambos negativos → palbociclibe NÃO tem papel no adjuvante (contraste: abemaciclibe MonarchE e ribociclibe NATALEE positivos).",Adjuvante,"[1,2,5,6,7,12]","pos_neoadj_rhpos_residual,adj_upfront_rhpos"
237,Adjuvância,Quimioterapia — Doença residual pós-neoadjuvância — TNBC,Administrar Capecitabina adjuvante (doença residual),Capecitabina 2.000 mg/m² VO D1-D14 a cada 3 semanas por 6-8 ciclos (dose reduzida para ocidentais).,Alto,Forte,CREATE-X,"Ganho absoluto de 8,5% em 5 anos. Dose original 2.500 mg/m².",Adjuvante,"[1,2,5,6,9,12,15,16]",pos_neoadj_tnbc_residual
238,Adjuvância,Quimioterapia — Pós-neoadjuvância — Doença residual + mutação BRCA1/2 — TNBC,Administrar Olaparibe adjuvante (doença residual + BRCA mutado),Olaparibe 300 mg VO 2x/dia continuamente por 1 ano.,Alto,Forte,OlympiA,"Ganho em SLP e SG. Em 4 anos, SG 89,8% vs 86,4% (HR 0,68).",Adjuvante,"[1,2,5,9,12,16]","adj_residual_tnbc_brca,pos_neoadj_tnbc_residual"
240,Adjuvância,Pós-neoadjuvância (Doença Residual) — Pacientes HER2+ com doença residual invasiva pós-neoadjuvância,Administrar T-DM1 adjuvante (doença residual HER2+),"Trastuzumabe entansina (T-DM1) 3,6 mg/kg EV D1 a cada 21 dias por 14 ciclos.",Alto,Forte,KATHERINE,"Substitui trastuzumabe e pertuzumabe. Ganho absoluto em SG em 7 anos: +4,7%. | ATENÇÃO: DESTINY-Breast05 mostrou T-DXd superior ao T-DM1, mas ainda sem aprovação Anvisa para essa indicação específica. Toxicidades a monitorar: trombocitopenia, hepatotoxicidade (transaminases), neuropatia periférica e fadiga.",Adjuvante,"[1,2,5,6,10,12,15]",pos_neoadj_her2_residual
241,Adjuvância,Anti-HER2 — RPC pós-neoadjuvância — HER2+,Manter Trastuzumabe adjuvante (RPC cN0),Trastuzumabe 6 mg/kg EV D1 (ou 600 mg SC) a cada 3 semanas até completar 1 ano total.,Alto,Forte,APHINITY,Se cN0 no diagnóstico.,Adjuvante,"[1,2,5,15]",pos_neoadj_her2_pcr
242,Adjuvância,Anti-HER2 — RPC pós-neoadjuvância — HER2+,Manter Trastuzumabe + Pertuzumabe adjuvante (RPC cN+),Trastuzumabe (6 mg/kg EV q3sem ou SC) + Pertuzumabe (420 mg EV q3sem) até completar 1 ano total.,Alto,Forte,APHINITY,"Benefício exclusivo para N+; em N0 não houve benefício clínico relevante.
Condicional na diretriz ('Considerar, em pacientes com LFN positivo, a adição de pertuzumabe')",Adjuvante,"[1,2,5,15]",adj_upfront_her2
243,Neoadjuvância,Preferencial — Doença localizada (>2cm)* ou localmente avançada HER2+,Administrar TCHP (esquema preferencial sem antraciclina),Docetaxel 75 mg/m² EV D1 (ou Paclitaxel 80 mg/m² D1/D8) + Carboplatina AUC 6 EV D1 + Trastuzumabe (8→6 mg/kg q3sem) + Pertuzumabe (840→420 mg q3sem) a cada 3 semanas por 6-9 ciclos. Manter trastuzumabe ± pertuzumabe após a cirurgia até completar 1 ano em caso de RPC.,Alto,Forte,TRAIN-2,"RPC 68% sem antraciclina vs 67% com, menor toxicidade. NÃO usar antraciclinas rotineiramente.",Neoadjuvante,"[1,2,4,5,6,12,21]",neoadj_candidata_her2
